"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005294 ATP synthase, F1 complex, alpha subunit;",NA,3,1,NA,5,2,2,2,5
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005671 2-isopropylmalate synthase, bacterial-type;",NA,1,NA,1,NA,NA,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005708 Homogentisate 1,2-dioxygenase;IPR022950 Homogentisate 1,2-dioxygenase, bacterial;",NA,1,1,NA,NA,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005750 UDP-N-acetylglucosamine 1-carboxyvinyltransferase;",NA,1,1,3,4,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005765 Uracil phosphoribosyl transferase;IPR034332 Uracil phosphoribosyltransferase, bacterial-type;",NA,1,1,1,NA,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005771 UTP--glucose-1-phosphate uridylyltransferase, bacterial/archaeal-type;",NA,2,NA,1,2,NA,NA,1,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005881 Serine O-acetyltransferase;",NA,1,1,3,NA,3,3,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005930 Pyruvate carboxylase;",NA,1,2,1,NA,1,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005931 Delta-1-pyrroline-5-carboxylate dehydrogenase;",NA,1,NA,NA,1,NA,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005995 Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent;",NA,1,NA,NA,1,1,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006006 Glutamate synthase, NADH/NADPH, small subunit 2;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006095 Glutamate/phenylalanine/leucine/valine dehydrogenase;IPR014362 Glutamate dehydrogenase;",NA,1,NA,1,1,2,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006179 5'-Nucleotidase/apyrase;",NA,2,NA,4,5,3,2,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006179 5'-Nucleotidase/apyrase;IPR011240 Phosphoesterase-related protein YunD;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006219 DHAP synthase, class 1;",NA,2,NA,2,1,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006254 Isocitrate lyase;",NA,1,NA,2,3,2,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006257 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex;",NA,1,NA,NA,1,NA,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006264 3-phosphoshikimate 1-carboxyvinyltransferase;",NA,1,NA,2,1,1,1,1,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006368 GDP-mannose 4,6-dehydratase;",NA,1,1,NA,3,NA,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006412 Fructose-bisphosphate aldolase, class II, Calvin cycle subtype;",NA,1,NA,NA,1,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006547 Nitrate reductase, beta subunit;",NA,1,NA,1,1,1,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR006721 ATP synthase, F1 complex, epsilon  subunit, mitochondrial;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR007440 Chorismate--pyruvate lyase;",NA,1,1,NA,2,1,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR008209 Phosphoenolpyruvate carboxykinase, GTP-utilising;",NA,1,1,NA,1,NA,2,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR008688 ATP synthase, F0 complex, subunit B/MI25;",NA,1,NA,NA,NA,NA,1,NA,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR009914 Dolichol phosphate-mannose biosynthesis regulatory;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010074 Phosphoribosylformylglycinamidine subunit PurL;",NA,1,NA,2,1,1,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010121 Pyruvate, phosphate dikinase;",NA,1,1,1,4,2,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010139 Imidazole glycerol phosphate synthase, subunit H;",NA,1,NA,NA,2,2,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010140 Histidinol phosphate phosphatase, HisJ;",NA,1,1,1,1,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010232 Probable protein kinase UbiB;",NA,1,NA,NA,1,NA,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010394 5-nucleotidase;",NA,1,NA,1,1,2,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010462 Ectoine synthase;",NA,1,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;IPR011295 2-polyprenyl-6-methoxyphenol 4-hydroxylase;",NA,1,NA,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR011241 Bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase;",NA,1,NA,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR011904 Acetate-CoA ligase;",NA,1,NA,1,3,3,1,2,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR011962 dCTP deaminase;",NA,1,1,NA,NA,NA,NA,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012080 Aspartate-semialdehyde dehydrogenase;",NA,1,1,1,3,2,1,4,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012131 Histidinol dehydrogenase;IPR022695 Histidinol dehydrogenase, monofunctional;",NA,1,1,2,2,NA,1,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012382 Precorrin-2 C(20)-methyltransferase;",NA,1,NA,NA,2,NA,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012392 Very-long-chain 3-ketoacyl-CoA synthase;",NA,3,NA,4,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012695 2-methylisocitrate lyase;",NA,1,NA,1,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR012824 Cobalamin (vitamin B12) biosynthesis CobW;",NA,1,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR014311 Guanine deaminase;",NA,1,NA,NA,NA,1,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR016662 Acyl-CoA thioesterase, long chain;",NA,2,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR017079 Zeaxanthin epoxidase;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR017597 Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y;",NA,1,NA,NA,2,2,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR017660 Oxalyl-CoA decarboxylase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR017808 Ergothioneine biosynthesis protein EgtC;IPR032889 Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase, Actinobacteria;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR020921 Erythronate-4-phosphate dehydrogenase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR022694 3-hydroxyacyl-CoA dehydrogenase;",NA,2,1,2,4,1,2,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR023031 Orotate phosphoribosyltransferase;",NA,3,1,1,2,1,2,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR024694 PurE, prokaryotic type;",NA,1,2,NA,NA,3,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR030963 3-dehydroquinate synthase family;",NA,1,2,1,1,3,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR034291 Thiamine phosphate synthase;",NA,1,1,NA,1,2,NA,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR038989 Ubiquinone biosynthesis protein UbiJ;",NA,1,1,NA,NA,NA,NA,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR039793 Uroporphyrinogen-III synthase;",NA,2,NA,1,NA,2,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR042024 D-xylulose kinase;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR000343 Tetrapyrrole biosynthesis, glutamyl-tRNA reductase;",NA,3,3,2,1,NA,1,3,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR000649 Initiation factor 2B-related;",NA,1,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR000706 N-acetyl-gamma-glutamyl-phosphate reductase, type 1;",NA,1,3,NA,4,NA,3,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR000907 Lipoxygenase;IPR001246 Lipoxygenase, plant;",NA,1,3,2,NA,NA,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR001094 Flavodoxin-like;IPR023208 NADPH-cytochrome P450 reductase;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR001128 Cytochrome P450;IPR002401 Cytochrome P450, E-class, group I;IPR008069 Cytochrome P450, E-class, group I, CYP2D-like;",NA,3,2,2,NA,1,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR001269 tRNA-dihydrouridine synthase;IPR004653 tRNA-dihydrouridine(20/20a) synthase;",NA,2,NA,NA,NA,NA,1,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR001273 Aromatic amino acid hydroxylase;IPR005960 Phenylalanine-4-hydroxylase, monomeric form;",NA,2,NA,NA,NA,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR002053 Glycoside hydrolase, family 25;IPR018077 Glycoside hydrolase, family 25 subgroup;",NA,1,NA,NA,1,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR002196 Glycoside hydrolase, family 24;",NA,1,NA,NA,2,NA,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR003171 Methylenetetrahydrofolate reductase;IPR004621 Eukaryotic-type methylenetetrahydrofolate reductase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR003489 Ribosome hibernation promoting factor/RaiA;IPR034694 Ribosome hibernation promoting factor, long/plastid;",NA,1,1,1,NA,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR003780 COX15/CtaA family;IPR023755 Heme A synthase, type 1;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR003824 Undecaprenyl-diphosphatase UppP;",NA,1,NA,NA,1,1,3,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR003918 NADH:ubiquinone oxidoreductase;IPR010227 NADH-quinone oxidoreductase, chain M/4;IPR022997 NADH-quinone oxidoreductase chain 4;",NA,1,1,NA,NA,2,NA,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR004436 Isocitrate dehydrogenase NADP-dependent, monomeric;",NA,1,NA,NA,4,1,3,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR004511 Phosphoadenosine phosphosulphate/adenosine 5'-phosphosulphate reductase;",NA,1,NA,NA,1,NA,2,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR004790 Isocitrate dehydrogenase NADP-dependent;",NA,1,NA,2,NA,1,2,1,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR005255 PdxA family;IPR037510 4-hydroxythreonine-4-phosphate dehydrogenase;",NA,1,NA,NA,1,NA,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR005288 L-aspartate oxidase;",NA,1,NA,NA,2,NA,3,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR005708 Homogentisate 1,2-dioxygenase;IPR022950 Homogentisate 1,2-dioxygenase, bacterial;",NA,1,1,NA,NA,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR005970 Light-independent protochlorophyllide reductase, N subunit;",NA,2,NA,1,1,NA,NA,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR006095 Glutamate/phenylalanine/leucine/valine dehydrogenase;IPR014362 Glutamate dehydrogenase;",NA,1,NA,1,1,2,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR006168 Glycerol-3-phosphate dehydrogenase, NAD-dependent;",NA,1,3,1,NA,1,2,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR006183 6-phosphogluconate dehydrogenase;",NA,2,NA,2,2,NA,4,4,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR006547 Nitrate reductase, beta subunit;",NA,1,NA,1,1,1,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR007239 Autophagy-related protein 5;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR007260 Putative N-acetylmannosamine-6-phosphate epimerase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR007266 Endoplasmic reticulum oxidoreductin 1;",NA,1,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR008335 Eukaryotic molybdopterin oxidoreductase;",NA,1,NA,NA,1,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR008335 Eukaryotic molybdopterin oxidoreductase;IPR012137 Nitrate reductase NADH dependent;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR009959 Polyketide cyclase SnoaL-like;",NA,1,NA,NA,1,2,4,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR010061 Methylmalonate-semialdehyde dehydrogenase;",NA,2,NA,3,1,3,3,4,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR010187 Selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family;",NA,2,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR010218 NADH dehydrogenase, subunit C;",NA,3,1,2,4,4,4,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;IPR011295 2-polyprenyl-6-methoxyphenol 4-hydroxylase;",NA,1,NA,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR011603 2-oxoglutarate dehydrogenase E1 component;",NA,1,1,1,3,2,3,2,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR011784 Sulphate adenylyltransferase, small subunit;",NA,1,1,3,2,NA,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR012131 Histidinol dehydrogenase;IPR022695 Histidinol dehydrogenase, monofunctional;",NA,1,1,2,2,NA,1,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR012136 NADP transhydrogenase, beta subunit;",NA,1,NA,1,NA,1,2,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR012864 Cysteine oxygenase/2-aminoethanethiol dioxygenase;",NA,1,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR014006 Succinate dehydrogenase/fumarate reductase, flavoprotein subunit;",NA,1,NA,2,NA,1,3,1,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR014105 Carotenoid/retinoid oxidoreductase;",NA,1,NA,1,NA,2,NA,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR015701 Ferredoxin--NADP reductase;IPR035442 Ferredoxin--NADP reductase, plant and Cyanobacteria type;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR016208 Aldehyde oxidase/xanthine dehydrogenase;",NA,1,1,NA,NA,1,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR017079 Zeaxanthin epoxidase;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR017476 UDP-glucose/GDP-mannose dehydrogenase;IPR028359 UDP-N-acetyl-D-mannosamine/glucosamine dehydrogenase;",NA,2,1,1,1,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR017761 Laccase;",NA,1,1,NA,NA,3,2,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR017881 Nitrite reductase (NADH) small subunit;",NA,1,1,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR018028 Catalase, mono-functional, haem-containing;IPR024711 Catalase, mono-functional, haem-containing, clades 1 and 3;IPR040333 Catalase, clade 3;",NA,1,NA,2,NA,2,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR020921 Erythronate-4-phosphate dehydrogenase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;IPR022694 3-hydroxyacyl-CoA dehydrogenase;",NA,2,1,2,4,1,2,3,NA
